UVP/UVB Name,Human-Friendly Name,Actions,Product Category,Task Category,Action Type,Sensitivity Level,Description,super_admin,admin,view_only,developer,support,support_associate,analyst,refund_analyst,dispute_analyst,issuing_support_agent,tax_analyst,identity_analyst,iam_admin,sandbox_admin
account_admin_management_operations,Account Administration,write,Account & Connect,Manage team access,Destructive,Non-sensitive,"Full administrative account management including creating, closing, moving workspaces, and managing org child workspaces",write,write,,write,,,,,,,,,,
account_operations,Account Management,"read, write",Account & Connect,Configure settings,Read + Write,Non-sensitive,Read access to base account details for analysts (subset of full account access),write,write,read,,write,write,,read,read,read,,read,read,read
accounts_kyc_basic,Basic Identity Verification,read,Account & Connect,Verify identity,Read-only,Contains PII,"Read access to basic KYC fields including company/individual name, business_type, annual revenue, worker count, business profiles, persons, and relationships",read,read,read,,,,,,,,,read,,
admin_only_bundle,Admin Operations (Bundle),write,Admin,Configure settings,Administrative,Payment credentials,"Admin-only access to sensitive operations including POS SDK sessions, terminal sessions, hosted account management, reporting features, legal entity management, banking API, sandbox management, account controls, and platform settings",write,write,,,,,,,,,,,,
apple_pay_configuration,Apple Pay Configuration,"read, write",Payments,Configure settings,Read + Write,Payment credentials,"Read access to Apple Pay domains, certificates, and CSRs",write,write,read,write,,,write,,,,,,,
application_fee_operations,Application Fees,"read, write",Account & Connect,Monitor platform,Read + Write,Financial data,Read access to application fees for platform integrations,write,write,read,,write,,write,,,,,,,
balance_operations,Account Balance,read,Financial Operations,Monitor financials,Read-only,Financial data,Read access to balance and balance transactions,read,read,read,,read,read,read,read,read,,,,,
balance_transfer_operations,Balance Transfers,write,Financial Operations,Transfer funds,Destructive,Financial data,"Write access to transfer balances, manage outbound payments, payout links, open banking payments, and legacy transfers/payouts (highly sensitive)",write,write,,,,,write,,,,,,,
banking_transaction,Banking Transactions,read,Capital & Treasury,Monitor financials,Read-only,Financial data,Individual permission: banking_transaction_read,,,,,,,,,,,,,,
batch_import_operations,Batch Operations,"read, write",Integrations & Data,Export & analyze data,Read + Write,Non-sensitive,Read access to batch operations and bulk imports,write,write,read,write,,,write,,,,,,,
billing_monetization_admin,Billing Monetization Admin,write,Billing & Subscriptions,Configure settings,Administrative,Non-sensitive,Individual permission: billing_monetization_admin,write,write,,,,,,,,,,,,
billing_operations,Billing & Usage Metering,"read, write",Billing & Subscriptions,Manage billing,Read + Write,Financial data,"Read access to billing meters, meter events, bills, bill payments, credit grants, meter usage tracking, and dedicated balances",write,write,read,write,,,write,,,,,,,
billing_settings_operations,Billing Settings & Profiles,"read, write",Billing & Subscriptions,Configure settings,Administrative,Non-sensitive,"Read access to billing settings, profiles, collection settings, credit grants, cadence, and clocks",write,write,read,write,write,write,write,read,read,,,,,
capital_admin,Capital Admin,write,Capital & Treasury,Configure settings,Administrative,Financial data,Individual permission: capital_admin,write,write,,,,,,,,,,,,
capital_operations,Capital Financing,"read, write",Capital & Treasury,Monitor financials,Read + Write,Financial data,Read access to Capital for Platforms financing offers and transactions,write,write,read,write,,,write,,,,,,,
charge,Charges (Read Only),read,Payments,Handle customer issues,Read-only,Non-sensitive,Individual permission: charge_read,,,read,,,,,read,read,,,,,
charge_operations,Charges & Refunds,write,Payments,Process transactions,Create & update,Financial data,Individual permission: charge_operations_write,write,write,,write,write,write,write,,,,,,,
checkout_operations,Checkout (Payment Methods & Links),"read, write",Products & Orders,Process transactions,Read + Write,Non-sensitive,"Read access to checkout payment methods, payment pages, payment links, and buy buttons",write,write,read,write,write,read,write,,,,,,,
